"Quantity", "Refs", "Description", "Supplier-PN", "Manu-PN"
1,    R1,             RES 10K OHM 1/4W 1% AXIAL, S10KCACT-ND, RNMF14FTC10K0
2,    R2 R3,          RES 1K OHM 1/4W 1% AXIAL, S1KCACT-ND, RNMF14FTC1K00
1,    VR1,            TRIMMER 10K OHM 0.5W TH, 490-2875-ND, PV36W103C01B00
1,    -,              Potentiometers 16mm 100K ROTARY 3B TAPER, 688-RK16812MG099, RK16812MG099
1,    C1,             CAP ALUM 100UF 20% 6.3V RADIAL, P958-ND, ECE-A0JKS101
4,    C2 C3 C4 C5,    CAP CER 0.1UF 50V X7R RADIAL, 399-4264-ND, C320C104K5R5TA
1,    C6,             CAP TANT 1UF 25V 10% RADIAL, 478-1834-ND, TAP105K025SCS
1,    Cs,             0.022F 5.5volts Radial Super Cap, 80-FR0H223ZF, FR0H223ZF
1,    U1,             Atmel ATmega328P-PU pre-flashed with bootloader and Volu-Master firmware, AMB audio shop, AMB audio shop
1,    U1',            IC MCU 8BIT 32KB FLASH 28DIP, ATMEGA328P-PU-ND, ATMEGA328P-PU
1,    U2,             IC RTC CLK/CALENDAR SER 8-DIP, DS1302+-ND, DS1302+
1,    U3,             IC I/O EXPANDER I2C 8B 18DIP, MCP23008-E/P-ND, MCP23008-E/P
1,    U4,             IC IR RCVR MOD 38KHZ DOME RADIAL, 751-1386-5-ND, TSOP34838
1,    U5,             IC MOTOR DRIVER PAR 16-DIP, 497-2936-5-ND, L293D
1,    X1,             CER RESONATOR 16.0MHZ, 490-1214-ND, CSTLS16M0X55-B0
1,    X2,             Crystal 32.7680kHz 20ppm 6pF 50 kOhm -10°C - 60°C Through Hole Radial, 728-1000-ND, VT200F-6PF20PPM
1,    LED13,          LED YELLOW DIFF 3MM ROUND T/H, TLHY4401-ND, TLHY4401
1,    LEDP,           LED GRN DIFF 3MM ROUND T/H, 160-1142-ND, LTL-4231N
1,    SW1,            SWITCH TACTILE SPST-NO 0.05A 24V, SW400-ND, B3F-1000
1,    PWR/CFG switch, SWITCH PUSH SPST-NO 0.05A 24V, 708-1453-ND, MPI002/TERM/WH
1,    SSR,            RELAY SSR 280VAC/5A3-32VDC ZC, CC1762-ND, CL240D05
1,    -,              CONN IC DIP SOCKET 28POS TIN, ED90054-ND, 110-44-328-41-001000
1,    -,              CONN IC DIP SOCKET 8POS TIN, ED90048-ND, 110-44-308-41-001000
1,    -,              CONN IC DIP SOCKET 18POS TIN, ED90051-ND, 110-44-318-41-001000
1,    -,              CONN IC DIP SOCKET 16POS TIN, ED90050-ND, 110-44-316-41-001000
2,    J1 J2,          CONN HEADER VERT .100 6POS 30AU, A26550-ND, 87220-6
2,    J1' J2',        Connector Receptacle 6 Position 0.100 Gold, A26418-ND, 534237-4
2,    J3 J4,          CONN HEADER 6POS .100 VERT TIN, WM4204-ND, 0022232061
2,    J3 J4,          CONN HOUS 6POS .100 W/RAMP/RIB, WM2004-ND, 0022013067
2,    J5 J6,          CONN HEADER 2POS .100 VERT TIN, WM4200-ND, 0022232021
2,    J5 J6,          CONN HOUS 2POS .100 W/RAMP/RIB, WM2000-ND, 0022013027
1,    J9,             CONN HEADER 5POS .100 VERT TIN, WM4203-ND, 0022232051
1,    J9,             CONN HOUS 5POS .100 W/RAMP/RIB, WM2003-ND, 0022013057
30,   -,              CONN TERM FEMALE 22-30AWG TIN, WM1114-ND, 0008500114
1,    -,              CABLE USB EMBD UART 3.3V .1inch HDR, 768-1015-ND, TTL-232R-3V3
1,    LCD,            LCD MOD CHAR 2X16 WHT TRANSFL, NHD-0216K1Z-FSW-FBW-L-ND, NHD-0216K1Z-FSW-FBW-L 
4,    SPACER,         ROUND SPACER M3 BRASS 3MM, 952-1560-ND, R30-6010302
4,    STANDOFF,       HEX STANDOFF M3 BRASS 13MM, 952-1504-ND, R30-3001302
