"Quantity", "Refs", "Description", "Supplier-PN", "Manu-PN"
1,	R1, 470K 1/8W miniature resistor, S470KQCT-ND, CFM14JT470K 
1,	R2, 2.2MΩ 1/8W miniature resistor, S2.2MQCT-ND, CFM14JT2M20 
1,	R3, 2.2KΩ 1/8W miniature resistor, S2.2KQCT-ND, CFM14JT2K20 
1,	R5, 330KΩ 1/8W miniature resistor, S330KQCT-ND, CFM14JT330K
1,	R6, 10KΩ 1/8W miniature resistor, S10KQCT-ND, CFM14JT10K0
1,	C1, 470µF 25V electrolytic capacitor (8mm diameter 3.5mm lead pitch), P12389-ND, EEU-FM1E471L
1,	C2, 10µF 25V dipped tantalum capacitor (2.5mm lead pitch), 399-3565-ND, T350E106K025AT
1,	C3, 0.33µF 50V Z5U multilayer ceramic capacitor (2.5mm lead pitch), 399-4299-ND, C320C334M5U5TA
1,	D1, RECTIFIER BRIDGE 1.5A 100V WOG, W01G-E4/51GI-ND, W01G-E4/51
1,	D3,	1N4148 small signal diode (DO-35), 1N4148FS-ND, 1N4148
1,	Q2, 2N3904 NPN transistor (TO-92), 2N3904FS-ND, 2N3904BU
1,	Q3, MOSFET N-CH 55V 18A TO-220AB, IRLZ24NPBF-ND, IRLZ24NPBF
1,	U1, IC REG LDO 12V 1.5A TO220, 497-12406-ND, L7812CV-DG
1,  -,  RELAY GEN PURPOSE SPST 20A 12V, 255-4179-ND, JM1AN-ZTM-DC12V-F
1,  -,  Power Transformer, 1295-1018-ND, 62002
1,  -,  SWITCH PUSH SPST-NO 0.05A 24V, 708-1453-ND, MPI002/TERM/WH
