"Quantity", "Supplier", "Supplier-PN", "Manu", "Manu-PN", "Refs"
1,Digi-Key,LT1761ES5-3.3#TRMPBFCT-ND,Linear Technology,LT1761ES5-3.3#TRMPBF,U201
5,Digi-Key, 160-1423-1-ND,Lite-On,LTST-C171GKT,D104 D105 D102 D201 D501
2,Digi-Key,RNCP0805FTD825RCT-ND,Stackpole,RNCP0805FTD825R,R104 R105
1,Digi-Key,LT1763CS8-3.3#PBF-ND,Linear Technology,LT1763CS8-3.3#PBF,U501
3,Digi-Key,160-1427-1-ND,Lite-On,LTST-C171KRKT,D103 D301 D401
1,Digi-Key,492-1695-1-ND,Bivar,SM0805AC,D101
8,Digi-Key,P16291-ND,Panasonic,16SEPC100M,C601 C602 C603 C604 C701 C702 C703 C704
7,Digi-Key,RNCP0805FTD121RCT-ND,Stackpole,RNCP0805FTD121R,R102 R101 R103 R201 R501 R401 R301
14,Digi-Key,P16405CT-ND,Panasonic,32SEPF22M+TSS,C203 c301 c302 c303 c304 c305 c306 C402 C404 C406 C408 C410 C412 C501
23,Digi-Key,445-8183-1-ND,TDK,CGJ4J2X7R1C104K125AA,C101 C103 C104 C102 C106 C107 C105 C302 C304 C303 C305 C306 C301 C403 C407 C405 C409 C411 C401 C605 C606 C705 C706
1,Digi-Key,277-1247-ND,Phoenix Contact,1729128,P102
1,Digi-Key,MCP100T-315I/TTCT-ND,Microchip,MCP100T-315I/TT,U103
4,Digi-Key,399-7715-ND,Kemet,PFR5471H100J11L4BULK,C607 C608 C707 C708
1,Digi-Key,296-27549-1-ND,Texas Instruments,CDCLVC1104PWR,U102
1,Digi-Key,77-1248-ND,Phoenix Contact,1729131,P103
8,Digi-Key,985-1307-1-ND,Welwyn,PCF0805R-2K49BT1,R605 R611 R606 R612 R705 R711 R706 R712
4,Digi-Key,296-17008-ND,Texas Instruments,OPA1632DGN,U601 U602 U701 U702
2,Digi-Key,445-9190-1-ND,TDK,CGJ4J3X7R2D103K125AA,C202 C502
1,Digi-Key,S7078-ND,Sullins,PPTC102LFBN-RC,P101
16,Digi-Key,985-1303-1-ND,Welwyn,PCF0805R-1K21BT1,R601 R603 R607 R609 R602 R604 R608 R610 R701 R703 R707 R709 R702 R704 R708 R710
1,Digi-Key,296-29703-5-ND,Texas Instruments,ISO7640FMDW,U101
2,Digi-Key,445-8189-1-ND,TDK,CGJ4J2X7R1C105K125AA,C201 C503
1,Digi-Key,296-15234-5-ND,Texas Instruments,SRC4192IDB,U104
4,Digi-Key,MCU0805-0.0-ZZCT-ND,Vishay Beyschlag,MCU08050Z0000ZP500,R613 R614 R713 R714
1,Digi-Key,535-9318-1-ND,Abracon LLC,ASV-24.576MHZ-EJ-T,X101
2,Digi-Key,WM8741GEDS/RVCT-ND,Cirrus Logic Inc.,WM8741GEDS/RV,U301 U401
2,Mouser,568-NC3MAAH,Neutrik,NC3MAAH,P104 P105
