"Quantity", "Refs", "Description", "Supplier-PN", "Manu-PN"

5, R1 R2 R8 R9 R11, RES 10.0K OHM 1/4W 1% AXIAL, CMF10.0KQFCT-ND, CMF5010K000FHEB
3, R3 R16 R17, RES 1.00K OHM 1/4W 1% AXIAL, CMF1.00KQFCT-ND, CMF501K0000FHEB
4, R4 R5 R6 R7, RES 100 OHM 1/4W 1% AXIAL, CMF100QFCT-ND, CMF50100R00FHEB
4, R12 R13 R14 R15, RES MO 2W .47 OHM 5% AXIAL, RSMF2JTR470CT-ND, RSMF2JTR470
6, C1 C2 C3 C4 C16 C17, CAP CER 220PF 100V 5% RADIAL, 399-4163-ND, C315C221J1G5TA
4, C5 C6, CAP ALUM 1500UF 20% 50V RADIAL, 493-6907-ND, UHW1H152MHD6
5, C9 C10 C13 C20 C21, CAP ALUM 100UF 20% 63V RADIAL, 493-1936-ND, UPW1J101MPD
2, C11 C12, CAP ALUM 470UF 20% 63V RADIAL, 493-1948-ND, UPW1J471MHD

DIODES

4, D1 D2 D3 D4, 8A ultrafast recovery rectifier MUR820
1, D5, 12V 500mW zener diode BZX55C12
2, D6 D7, schottky diode 1N5819
1, LED, LED BLUE DIFF 3MM ROUND T/H, 751-1092-ND, TLHB4400

POWER

4, HEATSINKS, HEATSINK TO-220 BLACK 1-inch, HS231-ND, 531002B00000G
2, VOUT, CONN TERM BLOCK 3POS 5.08MM PCB, 277-1248-ND, 1729131
1, VIN, CONN TERM BLOCK 3POS 5.08MM PCB, 277-1249-ND, 1729144
1, TRANSFORMER, XFRMR TOROIDAL 15VA CHAS MOUNT, TE62053-ND, 62053-P2S02

FUSES
FILTERED POWER ENTRY MODULE WITH SWITCH & FUSE HOLDER
MUST REVIEW WHICH PARTS ALREADY HAVE IN STOCK !!
